n , Is n prime? ,  3^n - 1 ,  Is 3^n - 1 prime? ,,n , Is n prime? ,  3^n - 2^n  , Is 3^n - 2^n prime? 
2, yes ,8, no ,,2, yes ,5, yes 
3, yes ,26, no ,,3, yes ,19, yes 
4, no ,80, no ,,4, no ,65, no 
5, yes ,242, no ,,5, yes ,211, yes 
6, no ,728, no ,,6, no ,665, no 
7, yes ,2186, no ,,7, yes ,2059, no 
8, no ,6560, no ,,8, no ,6305, no 
9, no ,19682, no ,,9, no ,19171, no 
10, no ,59048, no ,,10, no ,58025, no 
11, yes ,177146, no ,,11, yes ,175099, no 
12, no ,531440, no ,,12, no ,527345, no 
13, yes ,1594322, no ,,13, yes ,1586131, no 
14, no ,4782968, no ,,14, no ,4766585, no 
15, no ,14348906, no ,,15, no ,14316139, no 
16, no ,43046720, no ,,16, no ,42981185, no 
17, yes ,129140162, no ,,17, yes ,129009091, yes 
18, no ,387420488, no ,,18, no ,387158345, no 
19, yes ,1162261466, no ,,19, yes ,1161737179, no 
20, no ,3486784400, no ,,20, no ,3485735825, no 
21, no ,10460353202, no ,,21, no ,10458256051, no 
22, no ,31381059608, no ,,22, no ,31376865305, no 
23, yes ,94143178826, no ,,23, yes ,94134790219, no 
24, no ,282429536480, no ,,24, no ,282412759265, no 
25, no ,847288609442, no ,,25, no ,847255055011, no 
26, no ,2541865828328, no ,,26, no ,2541798719465, no 
27, no ,7625597484986, no ,,27, no ,7625463267259, no 
28, no ,22876792454960, no ,,28, no ,22876524019505, no 
29, yes ,68630377364882, no ,,29, yes ,68629840493971, yes 
